wallet,deposit_cap
CVVQYs9Pi3t4it4KFpm3hxk97uDA6AVzNVJvGQTPH17n,0.92345
F1cc1ERkurVLT4Sn4AcsmCLWBrXNSjbDJUuszi4jWNii,1.2
